repo	in_catalog	in_repo_search	in_code_search	code_hit_count	stars	archived	updated_at	html_url
Kenneth-Olano/cmsc124_project	no	no	yes	2	0	no		https://github.com/Kenneth-Olano/cmsc124_project
Stefan-Radu/master	no	no	yes	2	0	no		https://github.com/Stefan-Radu/master
Theoistic/lolcode-dot-net	no	no	yes	2	0	no		https://github.com/Theoistic/lolcode-dot-net
aubreymoore/roadside	no	no	yes	2	0	no		https://github.com/aubreymoore/roadside
camanzanido/LOLCODE-Interpreter	no	no	yes	2	0	no		https://github.com/camanzanido/LOLCODE-Interpreter
chunlea/lolcode-dot-net	no	no	yes	2	0	no		https://github.com/chunlea/lolcode-dot-net
cvpua/CMSC124_Project	no	no	yes	2	0	no		https://github.com/cvpua/CMSC124_Project
gisikw/advent-of-code	no	no	yes	2	0	no		https://github.com/gisikw/advent-of-code
gitsly/lolcode-dot-net	no	no	yes	2	0	no		https://github.com/gitsly/lolcode-dot-net
mattleibow/lolcode-dot-net	no	no	yes	2	0	no		https://github.com/mattleibow/lolcode-dot-net
mutcianm/lolcodec	no	no	yes	2	0	no		https://github.com/mutcianm/lolcodec
nucax/practise-projects	no	no	yes	2	0	no		https://github.com/nucax/practise-projects
rdohms/lolcode-parser	no	no	yes	2	0	no		https://github.com/rdohms/lolcode-parser
sadirige/brazil_decuzar_dirige_project	no	no	yes	2	0	no		https://github.com/sadirige/brazil_decuzar_dirige_project
saibotsivad/add-file-extensions	no	no	yes	2	0	no		https://github.com/saibotsivad/add-file-extensions
seanpm2001/Git-Templates	no	no	yes	2	0	no		https://github.com/seanpm2001/Git-Templates
sopyb/AoC	no	no	yes	2	0	no		https://github.com/sopyb/AoC
unycorn/lolcode-dot-net	no	no	yes	2	0	no		https://github.com/unycorn/lolcode-dot-net
vandorena/Computer-Science-A-Level	no	no	yes	2	0	no		https://github.com/vandorena/Computer-Science-A-Level
zbraniecki/l20n	no	no	yes	2	0	no		https://github.com/zbraniecki/l20n
rodrigocaldeira/tictactoelolcode	no	yes	yes	1	21	no	2024-11-07T18:33:28Z	https://github.com/rodrigocaldeira/tictactoelolcode
kmoe/fizzbuzz	no	yes	yes	1	11	no	2023-04-27T01:54:43Z	https://github.com/kmoe/fizzbuzz
fsill99/fibonacci	no	yes	yes	1	8	no	2025-03-10T20:51:06Z	https://github.com/fsill99/fibonacci
Holarse-Linuxgaming/ashley-madison-simulator	no	yes	yes	1	7	no	2025-07-15T02:12:26Z	https://github.com/Holarse-Linuxgaming/ashley-madison-simulator
HogardDeLauger/lolcode-equation-solver	no	yes	yes	1	5	no	2019-05-02T14:23:15Z	https://github.com/HogardDeLauger/lolcode-equation-solver
staylward/esoteric-fun	no	yes	yes	1	5	no	2019-01-20T21:05:40Z	https://github.com/staylward/esoteric-fun
Buttars/LOLCODE-FIBONACCI	no	yes	yes	1	4	no	2019-12-11T15:04:57Z	https://github.com/Buttars/LOLCODE-FIBONACCI
CuriousCoder1232/1v1-lol-html-html-codes-for-websites	no	yes	yes	1	4	no	2025-07-15T12:51:50Z	https://github.com/CuriousCoder1232/1v1-lol-html-html-codes-for-websites
carlmathisen/htmx-lolcode	no	yes	yes	1	3	no	2025-09-16T11:03:31Z	https://github.com/carlmathisen/htmx-lolcode
justinmeza/lollm	no	yes	yes	1	3	no	2026-03-01T01:34:54Z	https://github.com/justinmeza/lollm
halvards/diamondz-lol	no	yes	yes	1	2	no	2018-08-10T01:24:02Z	https://github.com/halvards/diamondz-lol
TheDummi/Meow	no	yes	yes	1	1	no	2023-06-16T19:40:35Z	https://github.com/TheDummi/Meow
mathisneunzig/LOLCODE	no	yes	yes	1	1	no	2023-09-08T07:37:31Z	https://github.com/mathisneunzig/LOLCODE
mjrb/mongo-lol-driver-example	no	yes	yes	1	1	no	2020-10-17T04:55:42Z	https://github.com/mjrb/mongo-lol-driver-example
0u44/Programming-Languages	no	no	yes	1	0	no		https://github.com/0u44/Programming-Languages
