repo	in_catalog	in_repo_search	in_code_search	code_hit_count	stars	archived	updated_at	html_url
gitworried/mpt23-lab-luca-schulz-marcus-worrmann	no	no	yes	1	0	no		https://github.com/gitworried/mpt23-lab-luca-schulz-marcus-worrmann
gretzke/Blockchain-Based-Smart-Outlet	no	no	yes	1	0	no		https://github.com/gretzke/Blockchain-Based-Smart-Outlet
grself/CIS221_Lab_Manual	no	no	yes	1	0	no		https://github.com/grself/CIS221_Lab_Manual
gubbriaco/fir-filter-analysis	no	no	yes	1	0	no		https://github.com/gubbriaco/fir-filter-analysis
gustavo-depaula/stalin-sort	no	no	yes	1	0	no		https://github.com/gustavo-depaula/stalin-sort
gustavocaiano/fuse	no	no	yes	1	0	no		https://github.com/gustavocaiano/fuse
handikatriarlan/hello-world-in-every-language	no	no	yes	1	0	no		https://github.com/handikatriarlan/hello-world-in-every-language
harisekatama/Tugas-Akhir	no	no	yes	1	0	no		https://github.com/harisekatama/Tugas-Akhir
honeyvig/helloworld	no	no	yes	1	0	no		https://github.com/honeyvig/helloworld
imalik8088/latex_template	no	no	yes	1	0	no		https://github.com/imalik8088/latex_template
inaiemnahid/Timestamp	no	no	yes	1	0	no		https://github.com/inaiemnahid/Timestamp
jacobjwebber/dissertation	no	no	yes	1	0	no		https://github.com/jacobjwebber/dissertation
janTiefenbacher/Diplomarbeit	no	no	yes	1	0	no		https://github.com/janTiefenbacher/Diplomarbeit
jasperfue/Gambit	no	no	yes	1	0	no		https://github.com/jasperfue/Gambit
javif89/webcat	no	no	yes	1	0	no		https://github.com/javif89/webcat
jedalain/cmsc-124-lolcode-project	no	no	yes	1	0	no		https://github.com/jedalain/cmsc-124-lolcode-project
jerichodolendo/lolcode-interpreter	no	no	yes	1	0	no		https://github.com/jerichodolendo/lolcode-interpreter
johnymontana/willithesis-doc	no	no	yes	1	0	no		https://github.com/johnymontana/willithesis-doc
jonhskie/Master-Thesis-Latex	no	no	yes	1	0	no		https://github.com/jonhskie/Master-Thesis-Latex
jpcusa/TFI-criptografia	no	no	yes	1	0	no		https://github.com/jpcusa/TFI-criptografia
jugen4321/Bayotka	no	yes	yes	1	0	no	2025-06-07T18:56:05Z	https://github.com/jugen4321/Bayotka
juleshenry/tatuagem	no	no	yes	1	0	no		https://github.com/juleshenry/tatuagem
jweinstein92/Predictive_Beer_Analytics	no	no	yes	1	0	no		https://github.com/jweinstein92/Predictive_Beer_Analytics
jzeuzs/hello-world	no	no	yes	1	0	no		https://github.com/jzeuzs/hello-world
kerner1000/kerner	no	no	yes	1	0	no		https://github.com/kerner1000/kerner
kevlu8/languageception	no	no	yes	1	0	no		https://github.com/kevlu8/languageception
kidonm/GenericVoIPSwitch	no	no	yes	1	0	no		https://github.com/kidonm/GenericVoIPSwitch
klenndacoder69/lolcode-project-124	no	no	yes	1	0	no		https://github.com/klenndacoder69/lolcode-project-124
knightking100/hello-worlds	no	no	yes	1	0	no		https://github.com/knightking100/hello-worlds
knightron0/helloworld	no	no	yes	1	0	no		https://github.com/knightron0/helloworld
krilangs/ComPhys---Master	no	no	yes	1	0	no		https://github.com/krilangs/ComPhys---Master
krispypatata/lolcode-interpreter-py	no	no	yes	1	0	no		https://github.com/krispypatata/lolcode-interpreter-py
ksdc2020/helloworld	no	no	yes	1	0	no		https://github.com/ksdc2020/helloworld
ksumallo/lolspeaker	no	no	yes	1	0	no		https://github.com/ksumallo/lolspeaker
kunaltyagi/helloworld	no	no	yes	1	0	no		https://github.com/kunaltyagi/helloworld
labenbmic1/git-BachelorThesis	no	no	yes	1	0	no		https://github.com/labenbmic1/git-BachelorThesis
lemoxiao/Latex-Part1	no	no	yes	1	0	no		https://github.com/lemoxiao/Latex-Part1
lennartbublies/ecdsa	no	no	yes	1	0	no		https://github.com/lennartbublies/ecdsa
lenri001/EE_105	no	no	yes	1	0	no		https://github.com/lenri001/EE_105
llucbrell/TeXTal	no	no	yes	1	0	no		https://github.com/llucbrell/TeXTal
lol-qwop/lol-qwop	no	no	yes	1	0	no		https://github.com/lol-qwop/lol-qwop
lolphantomm/phantom.lol	no	yes	yes	1	0	no	2025-03-09T00:28:43Z	https://github.com/lolphantomm/phantom.lol
lukasrynt/Bachelor-thesis	no	no	yes	1	0	no		https://github.com/lukasrynt/Bachelor-thesis
madangtrus/thaycacac	no	no	yes	1	0	no		https://github.com/madangtrus/thaycacac
maddiesloadstrings/mad.lol	no	yes	yes	1	0	no	2024-11-23T19:12:05Z	https://github.com/maddiesloadstrings/mad.lol
makenowjust/quine	no	no	yes	1	0	no		https://github.com/makenowjust/quine
manisit09/Manish-Test-1	no	no	yes	1	0	no		https://github.com/manisit09/Manish-Test-1
martinbaumg/SAE-23	no	no	yes	1	0	no		https://github.com/martinbaumg/SAE-23
martindevans/y	no	no	yes	1	0	no		https://github.com/martindevans/y
mathildor/latex-thesis-template	no	no	yes	1	0	no		https://github.com/mathildor/latex-thesis-template
mattys1/zaawansowane-p4	no	no	yes	1	0	no		https://github.com/mattys1/zaawansowane-p4
mattys1/zaawansowane-p6	no	no	yes	1	0	no		https://github.com/mattys1/zaawansowane-p6
matzegltg/Bachelor-Thesis	no	no	yes	1	0	no		https://github.com/matzegltg/Bachelor-Thesis
mawerty/Is-Prime	no	no	yes	1	0	no		https://github.com/mawerty/Is-Prime
mbenahmed1/ScheduleMe	no	no	yes	1	0	no		https://github.com/mbenahmed1/ScheduleMe
michael-stuetzner/diplomarbeit-recode-2526	no	no	yes	1	0	no		https://github.com/michael-stuetzner/diplomarbeit-recode-2526
mircocazzaro/tesimagistrale	no	no	yes	1	0	no		https://github.com/mircocazzaro/tesimagistrale
monumei/skibidi-brat	no	no	yes	1	0	no		https://github.com/monumei/skibidi-brat
morkro/fizzbuzz	no	no	yes	1	0	no		https://github.com/morkro/fizzbuzz
mrMetalWood/BAMM	no	no	yes	1	0	no		https://github.com/mrMetalWood/BAMM
nadineanareta/lolcode-interpreter	no	no	yes	1	0	no		https://github.com/nadineanareta/lolcode-interpreter
narze/coffee-to-code	no	no	yes	1	0	no		https://github.com/narze/coffee-to-code
navilan/wabi	no	no	yes	1	0	no		https://github.com/navilan/wabi
nel417/Random_Hello_Worlds	no	no	yes	1	0	no		https://github.com/nel417/Random_Hello_Worlds
nguyenphuminh/HelloWorld	no	no	yes	1	0	no		https://github.com/nguyenphuminh/HelloWorld
nickimaa/bachelorarbeit	no	no	yes	1	0	no		https://github.com/nickimaa/bachelorarbeit
nikolaarinanda/tugas-akhir	no	no	yes	1	0	no		https://github.com/nikolaarinanda/tugas-akhir
nitnelave/advent_of_code_2019	no	no	yes	1	0	no		https://github.com/nitnelave/advent_of_code_2019
notWetro/WTFAI	no	no	yes	1	0	no		https://github.com/notWetro/WTFAI
okquentin/ECCS_4411	no	no	yes	1	0	no		https://github.com/okquentin/ECCS_4411
orioljulian/QAOA	no	no	yes	1	0	no		https://github.com/orioljulian/QAOA
owrel/plan-merging-report	no	no	yes	1	0	no		https://github.com/owrel/plan-merging-report
prabodhcp/Data-Structures-with-C-Course-at-CSE-SIT-Tumkur	no	no	yes	1	0	no		https://github.com/prabodhcp/Data-Structures-with-C-Course-at-CSE-SIT-Tumkur
produnis/FreeQDA	no	no	yes	1	0	no		https://github.com/produnis/FreeQDA
profLeoPupo/Hello-World	no	no	yes	1	0	no		https://github.com/profLeoPupo/Hello-World
project-aki/Hello-World	no	no	yes	1	0	no		https://github.com/project-aki/Hello-World
reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	no	no	yes	1	0	no		https://github.com/reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
ridholess/Halo-Dunia24	no	no	yes	1	0	no		https://github.com/ridholess/Halo-Dunia24
rsandro22/user-management-postgresql	no	no	yes	1	0	no		https://github.com/rsandro22/user-management-postgresql
rvantonder/antlr-lolcode	no	no	yes	1	0	no		https://github.com/rvantonder/antlr-lolcode
rvbin1/uni_zeug	no	no	yes	1	0	no		https://github.com/rvbin1/uni_zeug
sahil8452/Text_Editor	no	no	yes	1	0	no		https://github.com/sahil8452/Text_Editor
sametcatakli/projet-linux-aws	no	no	yes	1	0	no		https://github.com/sametcatakli/projet-linux-aws
samuelmorency/ICS4U	no	no	yes	1	0	no		https://github.com/samuelmorency/ICS4U
savinggracelua/cracks	no	no	yes	1	0	no		https://github.com/savinggracelua/cracks
seanpm2001/SNU_2D_ProgrammingTools	no	no	yes	1	0	no		https://github.com/seanpm2001/SNU_2D_ProgrammingTools
sebastiansauer/thesisdown-apa	no	no	yes	1	0	no		https://github.com/sebastiansauer/thesisdown-apa
sesch023/Ausarbeitung-Spezielle-Algorithmen	no	no	yes	1	0	no		https://github.com/sesch023/Ausarbeitung-Spezielle-Algorithmen
sharppy/SHARPpy	no	no	yes	1	0	no		https://github.com/sharppy/SHARPpy
sirupsen/informatics	no	no	yes	1	0	no		https://github.com/sirupsen/informatics
skadic/RTOS-TD	no	no	yes	1	0	no		https://github.com/skadic/RTOS-TD
skiqqy/C45DiscordBot	no	no	yes	1	0	no		https://github.com/skiqqy/C45DiscordBot
snorremd/masterthesis	no	no	yes	1	0	no		https://github.com/snorremd/masterthesis
sourzo/Advent-of-Code	no	no	yes	1	0	no		https://github.com/sourzo/Advent-of-Code
stefaniscion/esolangs-tests	no	no	yes	1	0	no		https://github.com/stefaniscion/esolangs-tests
superlanding/super_tools	no	no	yes	1	0	no		https://github.com/superlanding/super_tools
surki/hipl	no	no	yes	1	0	no		https://github.com/surki/hipl
sussycloud/gem-pet-go	no	yes	yes	1	0	no	2024-12-04T16:28:41Z	https://github.com/sussycloud/gem-pet-go
syre/datamining-with-python	no	no	yes	1	0	no		https://github.com/syre/datamining-with-python
tashrique/LOLCODE-The-Williams-Frosh-Game	no	yes	yes	1	0	no	2025-03-04T07:12:02Z	https://github.com/tashrique/LOLCODE-The-Williams-Frosh-Game
tgolsson/sensors-arduino-lab1	no	no	yes	1	0	no		https://github.com/tgolsson/sensors-arduino-lab1
thaycacac/java	no	no	yes	1	0	no		https://github.com/thaycacac/java
ticklemynausea/gobsprogram	no	no	yes	1	0	no		https://github.com/ticklemynausea/gobsprogram
tierriminator/Lolang	no	no	yes	1	0	no		https://github.com/tierriminator/Lolang
toroidal-code/swag	no	no	yes	1	0	no		https://github.com/toroidal-code/swag
trholmes/thesis	no	no	yes	1	0	no		https://github.com/trholmes/thesis
tsiendragon/NUS-PhD-Thesis-LaTeX-Template	no	no	yes	1	0	no		https://github.com/tsiendragon/NUS-PhD-Thesis-LaTeX-Template
ufabc-dojo/welcome	no	no	yes	1	0	no		https://github.com/ufabc-dojo/welcome
valentin-schwind/frauas-thesis-template	no	no	yes	1	0	no		https://github.com/valentin-schwind/frauas-thesis-template
verdihatorou/html.ulangtahun	no	no	yes	1	0	no		https://github.com/verdihatorou/html.ulangtahun
vilemfiala/czech-absa-thesis	no	no	yes	1	0	no		https://github.com/vilemfiala/czech-absa-thesis
vincenzopalazzo/SpyCBlockThesis	no	no	yes	1	0	no		https://github.com/vincenzopalazzo/SpyCBlockThesis
vladb99/htwg	no	no	yes	1	0	no		https://github.com/vladb99/htwg
vlehnhau/bachelorThesis	no	no	yes	1	0	no		https://github.com/vlehnhau/bachelorThesis
wegfahrt/Studienarbeit	no	no	yes	1	0	no		https://github.com/wegfahrt/Studienarbeit
williambl/lolcode-matrix-multiplier	no	yes	yes	1	0	no	2019-10-12T21:30:23Z	https://github.com/williambl/lolcode-matrix-multiplier
wisrovi/imagenesDocker	no	no	yes	1	0	no		https://github.com/wisrovi/imagenesDocker
wookay/da	no	no	yes	1	0	no		https://github.com/wookay/da
wsu-lug/hello-world	no	no	yes	1	0	no		https://github.com/wsu-lug/hello-world
yaluki/VulkanVolumeRenderer	no	no	yes	1	0	no		https://github.com/yaluki/VulkanVolumeRenderer
youurt/ExposeMaster	no	no	yes	1	0	no		https://github.com/youurt/ExposeMaster
zachlatta/codeday-boulder-food	no	no	yes	1	0	no		https://github.com/zachlatta/codeday-boulder-food
zenware/FizzBuzz	no	no	yes	1	0	no		https://github.com/zenware/FizzBuzz
zkmok/SEP-g09-spec	no	no	yes	1	0	no		https://github.com/zkmok/SEP-g09-spec
zpxio/AdventOfCode2016	no	yes	yes	1	0	no	2016-12-02T05:19:20Z	https://github.com/zpxio/AdventOfCode2016
zxbot3/ZX-s-PC-CHECKER-old	no	no	yes	1	0	no		https://github.com/zxbot3/ZX-s-PC-CHECKER-old
Stovoy/LOLCODE-Snake	no	yes	no	0	10	no	2023-06-06T06:36:37Z	https://github.com/Stovoy/LOLCODE-Snake
Mohamed-abdalazez/Version-Control-Git	no	yes	no	0	9	no	2025-11-06T03:08:34Z	https://github.com/Mohamed-abdalazez/Version-Control-Git
themineraria/Quake3Keygen	no	yes	no	0	6	no	2025-10-06T09:40:32Z	https://github.com/themineraria/Quake3Keygen
PieVieRo/LOLCODE-calculator	no	yes	no	0	5	no	2023-05-11T15:23:07Z	https://github.com/PieVieRo/LOLCODE-calculator
vsimko/dqh-amiga	no	yes	no	0	4	no	2018-08-10T01:23:46Z	https://github.com/vsimko/dqh-amiga
AllAlgorithms/lol	no	yes	no	0	3	yes	2025-09-07T01:09:09Z	https://github.com/AllAlgorithms/lol
Zyndoras/calculator.lol	no	yes	no	0	3	no	2023-05-11T15:23:08Z	https://github.com/Zyndoras/calculator.lol
akleemans/pogo-ivrater-lolcode	no	yes	no	0	3	no	2018-08-10T01:23:50Z	https://github.com/akleemans/pogo-ivrater-lolcode
netfri25/lolcode-json	no	yes	no	0	3	no	2025-10-29T20:28:57Z	https://github.com/netfri25/lolcode-json
zhaitianyong/standalone_test	no	yes	no	0	3	no	2019-06-25T11:01:18Z	https://github.com/zhaitianyong/standalone_test
Chameleon-Coder/cat-journey	no	yes	no	0	2	no	2025-02-26T18:37:33Z	https://github.com/Chameleon-Coder/cat-journey
EloniX-X/LOLCODE-calculator	no	yes	no	0	2	no	2023-10-19T00:00:45Z	https://github.com/EloniX-X/LOLCODE-calculator
demo-exe/ProgrammingChallenges	no	yes	no	0	2	no	2018-09-18T17:19:48Z	https://github.com/demo-exe/ProgrammingChallenges
lil-netize/OG.BBk44	no	yes	no	0	2	no	2025-04-19T22:48:44Z	https://github.com/lil-netize/OG.BBk44
nathanchere/HackerRank_LOLCODE	no	yes	no	0	2	no	2018-08-10T01:23:56Z	https://github.com/nathanchere/HackerRank_LOLCODE
rodrigocaldeira/Bitcoin-Prices	no	yes	no	0	2	no	2023-01-16T13:20:13Z	https://github.com/rodrigocaldeira/Bitcoin-Prices
seanpm2001/Bliss_Browser_LOLCODE	no	yes	no	0	2	no	2023-02-26T20:21:30Z	https://github.com/seanpm2001/Bliss_Browser_LOLCODE
shreyaslad/Fun-with-LOLCODE	no	yes	no	0	2	no	2018-08-10T01:23:59Z	https://github.com/shreyaslad/Fun-with-LOLCODE
zellsh/zellsh.github.io	no	yes	no	0	2	no	2026-02-08T02:33:49Z	https://github.com/zellsh/zellsh.github.io
0oAstro/FizzBuzz	no	yes	no	0	1	no	2023-04-28T00:09:37Z	https://github.com/0oAstro/FizzBuzz
Chameleon-Coder/Deltarune-Cat-Edition-Chapter-One	no	yes	no	0	1	no	2022-07-13T21:13:08Z	https://github.com/Chameleon-Coder/Deltarune-Cat-Edition-Chapter-One
Chameleon-Coder/lolcode-rpg-template	no	yes	no	0	1	no	2022-06-30T00:12:40Z	https://github.com/Chameleon-Coder/lolcode-rpg-template
Chameleon-Coder/stunning-sniffle	no	yes	no	0	1	no	2022-07-07T22:37:20Z	https://github.com/Chameleon-Coder/stunning-sniffle
ChristopherA8/lolcalc	no	yes	no	0	1	no	2021-10-17T05:58:55Z	https://github.com/ChristopherA8/lolcalc
Danice123/Advent-2021-LOL	no	yes	no	0	1	no	2021-12-14T18:13:53Z	https://github.com/Danice123/Advent-2021-LOL
Halcy0nic/LCI-v0.10.5-Out-of-bounds-read	no	yes	no	0	1	no	2024-07-02T20:33:49Z	https://github.com/Halcy0nic/LCI-v0.10.5-Out-of-bounds-read
Idkwhoami42/Lolcode	no	yes	no	0	1	no	2021-02-10T17:33:27Z	https://github.com/Idkwhoami42/Lolcode
Joimer/console-games	no	yes	no	0	1	no	2024-11-18T16:34:07Z	https://github.com/Joimer/console-games
MercuryOnX/Silence.LOL	no	yes	no	0	1	no	2025-03-25T00:23:43Z	https://github.com/MercuryOnX/Silence.LOL
Nameless9000/LOLCODE_Shell	no	yes	no	0	1	no	2021-10-26T01:01:12Z	https://github.com/Nameless9000/LOLCODE_Shell
NetBeholder/bind-in-docker	no	yes	no	0	1	no	2024-11-19T02:36:51Z	https://github.com/NetBeholder/bind-in-docker
Nicolas-hr/Lolcode	no	yes	no	0	1	no	2019-03-12T20:08:13Z	https://github.com/Nicolas-hr/Lolcode
Nucleus2014/NMR-Structure-Calculation-using-CYANA-and-ASDP	no	yes	no	0	1	no	2025-11-09T02:30:44Z	https://github.com/Nucleus2014/NMR-Structure-Calculation-using-CYANA-and-ASDP
Prooom/Dr.Lol	no	yes	no	0	1	no	2021-09-04T20:14:58Z	https://github.com/Prooom/Dr.Lol
Rimuru900/Gravity.lol	no	yes	no	0	1	no	2024-12-12T15:20:00Z	https://github.com/Rimuru900/Gravity.lol
TechDudie/learning-lolcode	no	yes	no	0	1	no	2021-04-16T22:50:06Z	https://github.com/TechDudie/learning-lolcode
TheWrongAlice/ROK-PAPR-STABBERS	no	yes	no	0	1	no	2019-03-22T14:43:06Z	https://github.com/TheWrongAlice/ROK-PAPR-STABBERS
abhinavk001/my-first-esoteric-lang	no	yes	no	0	1	no	2021-04-02T16:33:15Z	https://github.com/abhinavk001/my-first-esoteric-lang
alejandrolechuga/ScriptJutsu	no	yes	no	0	1	no	2019-03-18T03:23:19Z	https://github.com/alejandrolechuga/ScriptJutsu
aleless/Guess-the-Numer-LOLCODE	no	yes	no	0	1	no	2025-08-21T08:39:48Z	https://github.com/aleless/Guess-the-Numer-LOLCODE
cemtuver/aoc21-lolcode	no	yes	no	0	1	no	2023-12-05T23:32:44Z	https://github.com/cemtuver/aoc21-lolcode
chriswaugh/lolbuzz	no	yes	no	0	1	no	2017-05-18T14:44:37Z	https://github.com/chriswaugh/lolbuzz
ddi4m0nd/Mad.lol	no	yes	no	0	1	no	2025-07-13T01:11:14Z	https://github.com/ddi4m0nd/Mad.lol
denzven/PalindromeChecker.lol	no	yes	no	0	1	no	2022-02-05T17:10:40Z	https://github.com/denzven/PalindromeChecker.lol
fruit-in/lolcat-translator	no	yes	no	0	1	yes	2025-03-15T16:38:30Z	https://github.com/fruit-in/lolcat-translator
hmlendea/rock-paper-scissors-lolcode	no	yes	no	0	1	yes	2025-06-07T22:16:38Z	https://github.com/hmlendea/rock-paper-scissors-lolcode
ishowportugal/LOLCODE	no	yes	no	0	1	no	2022-08-15T04:40:49Z	https://github.com/ishowportugal/LOLCODE
johnmberger/lol-code	no	yes	no	0	1	no	2023-03-08T18:55:00Z	https://github.com/johnmberger/lol-code
kssklol/sruik	no	yes	no	0	1	no	2025-04-10T00:44:48Z	https://github.com/kssklol/sruik
martinmorando/lolcode	no	yes	no	0	1	no	2025-04-13T17:08:44Z	https://github.com/martinmorando/lolcode
mewhenthegit/CATOS	no	yes	no	0	1	yes	2023-09-10T18:42:13Z	https://github.com/mewhenthegit/CATOS
prisems/LOLCODE-Calculator-v2	no	yes	no	0	1	no	2022-12-29T02:00:59Z	https://github.com/prisems/LOLCODE-Calculator-v2
ryzbaka/LOLCODE-STUFF	no	yes	no	0	1	no	2021-02-17T19:44:33Z	https://github.com/ryzbaka/LOLCODE-STUFF
vvisuall/WITHERCC	no	yes	no	0	1	no	2025-09-22T12:52:44Z	https://github.com/vvisuall/WITHERCC
wspace/0x0dea-lolcode	no	yes	no	0	1	no	2024-08-19T11:49:58Z	https://github.com/wspace/0x0dea-lolcode
zalnur/FEBOWABIT	no	yes	no	0	1	no	2020-05-31T21:43:32Z	https://github.com/zalnur/FEBOWABIT
0xKY/LOL	no	yes	no	0	0	no	2021-03-05T00:28:56Z	https://github.com/0xKY/LOL
11A11/Lolcode-spongebob-meme-text	no	yes	no	0	0	no	2018-03-17T20:10:30Z	https://github.com/11A11/Lolcode-spongebob-meme-text
19mdSkibidi/Wraith	no	yes	no	0	0	no	2025-07-18T17:33:47Z	https://github.com/19mdSkibidi/Wraith
3r1k0n/LOLCODEshenanigans	no	yes	no	0	0	no	2018-11-25T17:46:35Z	https://github.com/3r1k0n/LOLCODEshenanigans
404notfound229/euthoria.lol	no	yes	no	0	0	no	2025-04-24T15:31:40Z	https://github.com/404notfound229/euthoria.lol
5quirre1/LOLCODE-learning-progress	no	yes	no	0	0	no	2024-11-01T03:18:03Z	https://github.com/5quirre1/LOLCODE-learning-progress
621341/erherherh	no	yes	no	0	0	no	2025-09-22T02:06:27Z	https://github.com/621341/erherherh
64thlol/64th.lol-Free	no	yes	no	0	0	no	2025-07-05T12:24:51Z	https://github.com/64thlol/64th.lol-Free
64thlol/Free-Script-Ver	no	yes	no	0	0	no	2025-07-05T12:28:36Z	https://github.com/64thlol/Free-Script-Ver
8fgh/eluon-a-	no	yes	no	0	0	no	2025-12-04T22:50:27Z	https://github.com/8fgh/eluon-a-
AJEvans/AdventOfCode2022	no	yes	no	0	0	no	2022-12-07T22:10:41Z	https://github.com/AJEvans/AdventOfCode2022
AScheibe/lolcode-calculator	no	yes	no	0	0	no	2023-04-19T00:48:34Z	https://github.com/AScheibe/lolcode-calculator
ATB-UQ/CYANA-Examples	no	yes	no	0	0	no	2022-11-16T12:38:38Z	https://github.com/ATB-UQ/CYANA-Examples
AidanTheJsDev/lolcode-calculator	no	yes	no	0	0	no	2022-05-04T15:14:58Z	https://github.com/AidanTheJsDev/lolcode-calculator
AlisaTemp/lolcode-project	no	yes	no	0	0	no	2025-11-18T12:27:56Z	https://github.com/AlisaTemp/lolcode-project
Angel1LOLtaps/Angel.LOL1	no	yes	no	0	0	no	2025-11-27T08:10:55Z	https://github.com/Angel1LOLtaps/Angel.LOL1
ArnavK-09/trieslolcode	no	yes	no	0	0	no	2023-02-06T20:43:21Z	https://github.com/ArnavK-09/trieslolcode
Arosian-Stagg/URL-POST	no	yes	no	0	0	no	2025-04-21T15:54:48Z	https://github.com/Arosian-Stagg/URL-POST
ArturLange/esoteric_langs	no	yes	no	0	0	no	2018-12-20T08:00:44Z	https://github.com/ArturLange/esoteric_langs
BCRevels/Towers-of-Hanoi	no	yes	no	0	0	no	2019-05-02T19:26:17Z	https://github.com/BCRevels/Towers-of-Hanoi
BHuber55/CPSC4100	no	yes	no	0	0	no	2018-04-10T21:38:03Z	https://github.com/BHuber55/CPSC4100
BLANK-Zora/LOLCODE	no	yes	no	0	0	no	2020-10-01T12:15:49Z	https://github.com/BLANK-Zora/LOLCODE
BOXEL-REBOUND/LOLCODE	no	yes	no	0	0	no	2020-09-21T19:57:10Z	https://github.com/BOXEL-REBOUND/LOLCODE
Ben-Meredith/3PlayerGithub-1v1.lol	no	yes	no	0	0	no	2024-09-17T21:32:45Z	https://github.com/Ben-Meredith/3PlayerGithub-1v1.lol
Blasteed/ESOS	no	yes	no	0	0	no	2025-01-14T10:32:09Z	https://github.com/Blasteed/ESOS
BrookTheBook/Hello-World-In-LOLCODE	no	yes	no	0	0	no	2021-01-15T04:17:24Z	https://github.com/BrookTheBook/Hello-World-In-LOLCODE
CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE	no	yes	no	0	0	no	2021-12-18T09:26:02Z	https://github.com/CMSC124-SAT-SEM1-2021/Gamata_M_Tiangson_C_LOLCODE
Camto/mk.lol	no	yes	no	0	0	no	2018-10-10T01:40:11Z	https://github.com/Camto/mk.lol
CheikOmar325/LolCode-Snippets	no	yes	no	0	0	no	2023-05-03T23:43:18Z	https://github.com/CheikOmar325/LolCode-Snippets
Chingles2404/first-lolcode-program	no	yes	no	0	0	no	2019-07-02T15:39:48Z	https://github.com/Chingles2404/first-lolcode-program
CiroPhoenix/ProyectoFinalOptimizacion	no	yes	no	0	0	no	2023-04-16T18:27:50Z	https://github.com/CiroPhoenix/ProyectoFinalOptimizacion
Ckeshua/lolcode	no	yes	no	0	0	no	2025-01-11T04:16:54Z	https://github.com/Ckeshua/lolcode
Cleggatron/LoLCodeFizzBuzz	no	yes	no	0	0	no	2022-09-01T21:34:11Z	https://github.com/Cleggatron/LoLCodeFizzBuzz
Cold-Script/V5	no	yes	no	0	0	no	2024-09-01T02:30:44Z	https://github.com/Cold-Script/V5
Colean128/MultiCalc	no	yes	no	0	0	no	2020-03-24T10:25:30Z	https://github.com/Colean128/MultiCalc
ComputerGuyYash/LOLCODE-RawProgam	no	yes	no	0	0	no	2020-10-02T05:18:42Z	https://github.com/ComputerGuyYash/LOLCODE-RawProgam
CookieScript/Fixscript	no	yes	no	0	0	no	2026-02-22T17:51:55Z	https://github.com/CookieScript/Fixscript
CookieScript/dino	no	yes	no	0	0	no	2025-10-12T08:04:56Z	https://github.com/CookieScript/dino
Criiiis12/Byhub.lol	no	yes	no	0	0	no	2025-08-16T00:12:27Z	https://github.com/Criiiis12/Byhub.lol
Csabi6/Frost-lol	no	yes	no	0	0	no	2024-11-14T18:28:51Z	https://github.com/Csabi6/Frost-lol
CyDoor/scriptlets	no	yes	no	0	0	no	2017-11-13T14:38:37Z	https://github.com/CyDoor/scriptlets
DanielaSanluis/Practica2-descifradorKuakers	no	yes	no	0	0	no	2026-03-11T03:16:03Z	https://github.com/DanielaSanluis/Practica2-descifradorKuakers
DetainedMonkey2891/drain.lol-modified	no	yes	no	0	0	no	2024-10-13T16:33:58Z	https://github.com/DetainedMonkey2891/drain.lol-modified
DetainedMonkey2891/future.lol	no	yes	no	0	0	no	2024-10-16T14:02:38Z	https://github.com/DetainedMonkey2891/future.lol
Doctor0Evil/fan.asia	no	yes	no	0	0	no	2025-10-07T23:34:37Z	https://github.com/Doctor0Evil/fan.asia
DrownedInAPond/Lolcode-Calculator	no	yes	no	0	0	no	2024-05-15T10:16:50Z	https://github.com/DrownedInAPond/Lolcode-Calculator
Dxrkrumor/Dxrkrumor	no	yes	no	0	0	no	2021-09-26T06:30:02Z	https://github.com/Dxrkrumor/Dxrkrumor
Elimurray/COMPX301-A1	no	yes	no	0	0	no	2025-03-20T05:40:35Z	https://github.com/Elimurray/COMPX301-A1
Emashzed/dotp2013mod	no	yes	no	0	0	no	2016-03-24T22:41:58Z	https://github.com/Emashzed/dotp2013mod
EmptineX/Lolcode	no	yes	no	0	0	no	2024-07-09T17:06:09Z	https://github.com/EmptineX/Lolcode
EvanCPSC/lolcodes	no	yes	no	0	0	no	2024-03-29T03:20:44Z	https://github.com/EvanCPSC/lolcodes
FRTAX/labs.felixal..ch	no	yes	no	0	0	no	2024-09-22T17:45:55Z	https://github.com/FRTAX/labs.felixal..ch
FlamongoBird/LOLCODE-Fib	no	yes	no	0	0	no	2022-12-30T15:44:13Z	https://github.com/FlamongoBird/LOLCODE-Fib
Flanchyowo/AV4	no	yes	no	0	0	no	2026-03-08T19:32:55Z	https://github.com/Flanchyowo/AV4
FluxiumLOL/Fluxiumisbetter	no	yes	no	0	0	no	2025-08-08T13:51:46Z	https://github.com/FluxiumLOL/Fluxiumisbetter
FoxWorn3365/LOL-Test	no	yes	no	0	0	no	2022-02-05T14:31:57Z	https://github.com/FoxWorn3365/LOL-Test
